number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,4,4,2,10,10,0.8351851851851853,0.13153829162427674,0.007233587900797526,1.1333333333333333,0.35186577527449836,1.2666666666666666,0.4577377082170635,1.4,0.6324555320336759
8,2,1,1,10,10,0.812962962962963,0.12985147305999073,0.00240329106648763,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
16,2,3,2,5,10,0.8601851851851853,0.124166829421197,0.0034630457560221356,1.2666666666666666,0.4577377082170635,1.8,0.7745966692414835,2.066666666666667,0.8837151016885368
8,4,4,2,2,15,0.762962962962963,0.15787551000958877,0.009153477350870768,1.8,0.7745966692414834,1.4,0.6324555320336759,2.2666666666666666,1.5337473561121309
4,4,1,5,5,5,0.7037037037037038,0.2827270720955254,0.0018966992696126301,1.4666666666666666,0.5163977794943222,1.0,0.0,1.4666666666666666,0.5163977794943222
4,2,3,5,10,15,0.7731481481481481,0.16820279744986064,0.008461459477742513,1.7333333333333334,0.45773770821706344,1.3333333333333333,0.48795003647426666,2.066666666666667,0.7037315505489967
4,3,3,5,2,20,0.7444444444444444,0.2739719440057554,0.007694466908772787,1.0666666666666667,0.4577377082170634,0.9333333333333333,0.25819888974716115,1.0666666666666667,0.4577377082170634
16,1,4,1,1,15,0.812037037037037,0.13767992343429172,0.0031799157460530598,1.0,0.0,1.0,0.0,1.0,0.0
4,3,3,10,2,10,0.6361111111111112,0.25745070246074464,0.00691221555074056,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
16,2,3,10,2,20,0.8388888888888889,0.11641601949197654,0.005284627278645833,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
4,3,3,1,1,15,0.6888888888888889,0.26580341424905557,0.009433221817016602,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
16,4,3,5,1,5,0.8370370370370371,0.1370379307850163,0.003940725326538086,1.2,0.41403933560541256,1.0,0.0,1.2,0.41403933560541256
16,4,4,10,1,20,0.7972222222222223,0.14403176702316953,0.013144763310750325,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
8,1,1,5,1,15,0.7564814814814814,0.21413011203350796,0.0009378433227539062,1.0,0.0,1.0,0.0,1.0,0.0
8,3,3,2,2,5,0.7953703703703704,0.12294011150576038,0.005552355448404948,1.6666666666666667,0.7237468644557459,1.3333333333333333,0.48795003647426666,2.066666666666667,1.2798809468443688
32,3,4,1,1,10,0.8694444444444444,0.1275964897539539,0.00682525634765625,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101
32,2,2,10,10,10,0.8851851851851852,0.12010552875054982,0.002134084701538086,1.4666666666666666,0.5163977794943222,1.0,0.0,1.4666666666666666,0.5163977794943222
4,1,3,2,5,20,0.7537037037037038,0.1995134808521473,0.008227523167928059,1.0,0.0,1.0,0.0,1.0,0.0
