number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
32,3,2,1,1,5,0.8571428571428574,0.08247860988423225,0.0029259204864501955,1.8,0.5606119105813882,2.0,0.0,3.533333333333333,1.1254628677422756
16,4,2,1,10,20,0.86984126984127,0.07078317647211489,0.00577397346496582,1.5333333333333334,0.5163977794943222,2.0,0.0,2.8666666666666667,0.9154754164341268
32,1,3,10,5,5,0.834920634920635,0.12452262803860185,0.0028316656748453776,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
8,2,2,10,2,5,0.6126984126984126,0.1753026598992647,0.0024499893188476562,1.4666666666666666,0.5163977794943222,1.0,0.0,1.4666666666666666,0.5163977794943222
16,2,3,1,5,5,0.86984126984127,0.055377102441232326,0.002822240193684896,1.0666666666666667,0.2581988897471611,2.8,0.4140393356054125,2.933333333333333,0.7037315505489967
16,1,3,5,10,5,0.8793650793650796,0.06456017667970226,0.0026836713155110677,1.0,0.0,2.7333333333333334,0.4577377082170635,2.7333333333333334,0.4577377082170635
8,1,2,5,1,10,0.6698412698412698,0.131605257685839,0.002903652191162109,1.0,0.0,1.0,0.0,1.0,0.0
32,1,1,1,10,20,0.6571428571428571,0.10977492655207786,0.03878771464029948,1.0,0.0,1.0,0.0,1.0,0.0
8,1,4,10,5,10,0.6857142857142856,0.1046381458235306,0.008026393254597981,1.0,0.0,1.0,0.0,1.0,0.0
8,4,4,5,1,5,0.6222222222222221,0.17307099332088824,0.006104230880737305,1.6,0.6324555320336759,1.0,0.0,1.6,0.6324555320336759
4,3,4,10,10,15,0.4825396825396826,0.1734449318050506,0.012524048487345377,2.066666666666667,0.7037315505489967,1.8666666666666667,0.35186577527449836,3.066666666666667,0.7988086367179801
16,1,2,2,2,10,0.8920634920634922,0.08531020904691117,0.0012135982513427734,1.0,0.0,2.0,0.0,2.0,0.0
8,1,4,1,2,5,0.7714285714285715,0.10213147899774865,0.0028855164845784506,1.0,0.0,3.1333333333333333,0.7432233529572065,3.1333333333333333,0.7432233529572065
16,3,2,10,10,10,0.8476190476190476,0.10525548537328674,0.0027498245239257813,1.6,0.6324555320336759,2.0,0.0,2.8666666666666667,0.990430401872025
4,2,2,2,5,20,0.7396825396825396,0.11783967666449818,0.009925015767415364,1.5333333333333334,0.5163977794943222,1.9333333333333333,0.25819888974716115,2.7333333333333334,0.9611501047232549
8,4,1,1,5,10,0.6444444444444444,0.10627641601408584,0.0040894349416097,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
16,4,3,1,5,10,0.8603174603174604,0.08339000340675362,0.004281457265218099,1.4666666666666666,0.833809387832792,2.6666666666666665,0.4879500364742666,3.6,1.804755622554715
4,3,3,10,5,15,0.5301587301587302,0.17156708941390844,0.012189690272013347,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
